,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Noise Power,Noise,Difference Temperature
26,27,L47206,L,299.1,309.5,1512,39.0,75,0,No Failure,6175.11,3315.11,10.399999999999977
27,28,H29441,H,299.1,309.4,1811,24.6,77,0,No Failure,4665.33,1805.33,10.299999999999955
28,29,L47208,L,299.1,309.4,1439,44.2,82,0,No Failure,6660.57,3800.57,10.299999999999955
29,30,L47209,L,299.0,309.4,1693,30.1,84,0,No Failure,5336.45,2476.45,10.399999999999977
30,31,M14890,M,299.1,309.5,1339,48.2,86,0,No Failure,6758.59,3898.59,10.399999999999977
31,32,L47211,L,299.0,309.4,1798,25.5,89,0,No Failure,4801.3,1941.3,10.399999999999977
32,33,L47212,L,299.0,309.4,1419,48.3,91,0,No Failure,7177.25,4317.25,10.399999999999977
33,34,L47213,L,298.9,309.3,1665,32.5,93,0,No Failure,5666.65,2806.65,10.400000000000034
34,35,M14894,M,298.8,309.1,1559,34.7,95,0,No Failure,5665.06,2805.06,10.300000000000011
35,36,M14895,M,298.8,309.2,1452,48.6,98,0,No Failure,7389.78,4529.78,10.399999999999977
36,37,M14896,M,298.9,309.2,1581,36.7,101,0,No Failure,6076.12,3216.12,10.300000000000011
37,38,L47217,L,298.8,309.1,1439,39.2,104,0,No Failure,5907.12,3047.12,10.300000000000011
38,39,H29452,H,298.9,309.2,1379,50.7,106,0,No Failure,7321.51,4461.51,10.300000000000011
39,40,L47219,L,298.8,309.1,1350,52.5,111,0,No Failure,7422.01,4562.01,10.300000000000011
40,41,L47220,L,298.8,309.1,1362,45.4,113,0,No Failure,6475.33,3615.33,10.300000000000011
41,42,L47221,L,298.8,309.1,1368,50.8,115,0,No Failure,7277.44,4417.44,10.300000000000011
42,43,M14902,M,298.8,309.1,1368,49.1,117,0,No Failure,7033.9,4173.9,10.300000000000011
43,44,H29457,H,298.8,309.2,1372,48.5,120,0,No Failure,6968.26,4108.26,10.399999999999977
44,45,M14904,M,298.8,309.1,1472,47.5,125,0,No Failure,7322.01,4462.01,10.300000000000011
45,46,L47225,L,298.8,309.1,1489,49.1,128,0,No Failure,7656.05,4796.05,10.300000000000011
46,47,M14906,M,298.7,309.0,1843,25.8,130,0,No Failure,4979.36,2119.36,10.300000000000011
47,48,L47227,L,298.8,309.1,1418,46.3,133,0,No Failure,6875.21,4015.21,10.300000000000011
48,49,H29462,H,298.8,309.2,1425,53.9,135,0,No Failure,8043.26,5183.26,10.399999999999977
49,50,M14909,M,298.9,309.2,1412,44.1,140,0,No Failure,6520.82,3660.82,10.300000000000011
50,51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure,1378.17,-1481.83,10.200000000000045
51,52,L47231,L,298.9,309.1,1383,54.9,145,0,No Failure,7951.03,5091.03,10.200000000000045
52,53,H29466,H,298.8,309.0,1497,43.8,147,0,No Failure,6866.33,4006.33,10.199999999999989
53,54,L47233,L,298.7,309.0,1565,35.1,152,0,No Failure,5752.41,2892.41,10.300000000000011
54,55,L47234,L,298.7,309.0,1691,30.1,154,0,No Failure,5330.14,2470.14,10.300000000000011
55,56,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure,6444.29,3584.29,10.300000000000011
56,57,L47236,L,298.8,309.1,1477,42.4,158,0,No Failure,6558.05,3698.05,10.300000000000011
57,58,L47237,L,298.8,309.1,1513,40.3,160,0,No Failure,6385.17,3525.17,10.300000000000011
58,59,M14918,M,298.8,309.0,1661,29.5,162,0,No Failure,5131.22,2271.22,10.199999999999989
59,60,L47239,L,298.8,309.1,1378,54.4,165,0,No Failure,7850.13,4990.13,10.300000000000011
60,61,L47240,L,298.8,309.1,1393,52.6,167,0,No Failure,7673.0,4813.0,10.300000000000011
61,62,M14921,M,298.8,309.0,1592,38.2,169,0,No Failure,6368.47,3508.47,10.199999999999989
62,63,L47242,L,298.8,309.0,1829,22.9,172,0,No Failure,4386.09,1526.09,10.199999999999989
63,64,M14923,M,298.9,309.0,1812,25.9,174,0,No Failure,4914.58,2054.58,10.100000000000023
64,65,L47244,L,299.0,309.1,1523,38.6,177,0,No Failure,6156.24,3296.24,10.100000000000023
65,66,L47245,L,299.0,309.1,1394,45.1,179,0,No Failure,6583.67,3723.67,10.100000000000023
66,67,M14926,M,298.9,308.9,1679,28.7,181,0,No Failure,5046.16,2186.16,10.0
67,68,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure,6770.2,3910.2,10.099999999999966
68,69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure,5180.99,2320.99,10.099999999999966
69,70,L47249,L,298.9,309.0,1410,65.7,191,1,Power Failure,9700.92,6840.92,10.100000000000023
70,71,M14930,M,298.9,309.0,1924,22.6,193,0,No Failure,4553.47,1693.47,10.100000000000023
71,72,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure,6918.42,4058.42,10.200000000000045
72,73,L47252,L,298.9,309.1,1369,44.4,198,0,No Failure,6365.24,3505.24,10.200000000000045
73,74,L47253,L,299.0,309.1,1592,35.0,200,0,No Failure,5834.98,2974.98,10.100000000000023
74,75,L47254,L,298.9,309.0,1601,32.3,202,0,No Failure,5415.3,2555.3,10.100000000000023
75,76,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure,6743.88,3883.88,10.099999999999966
76,77,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure,7328.49,4468.49,10.099999999999966
77,78,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,6292.77,3432.77,10.099999999999966
78,79,L47258,L,298.8,308.9,1398,51.5,0,0,No Failure,7539.51,4679.51,10.099999999999966
79,80,L47259,L,298.8,308.9,1402,37.9,2,0,No Failure,5564.37,2704.37,10.099999999999966
80,81,H29494,H,298.8,308.8,1445,49.9,4,0,No Failure,7550.87,4690.87,10.0
81,82,L47261,L,298.9,308.9,1450,47.5,9,0,No Failure,7212.57,4352.57,10.0
82,83,L47262,L,298.9,308.9,1453,40.8,11,0,No Failure,6208.04,3348.04,10.0
83,84,L47263,L,299.0,309.0,1469,40.1,13,0,No Failure,6168.72,3308.72,10.0
84,85,L47264,L,298.9,308.9,1422,47.6,15,0,No Failure,7088.19,4228.19,10.0
85,86,M14945,M,299.0,309.0,1804,26.8,17,0,No Failure,5062.91,2202.91,10.0
86,87,H29500,H,299.0,309.0,1436,43.9,20,0,No Failure,6601.58,3741.58,10.0
87,88,L47267,L,299.0,309.0,1544,31.8,25,0,No Failure,5141.66,2281.66,10.0
88,89,M14948,M,299.0,309.0,1419,45.2,27,0,No Failure,6716.6,3856.6,10.0
89,90,M14949,M,298.9,308.9,1487,39.5,30,0,No Failure,6150.87,3290.87,10.0
90,91,L47270,L,298.9,308.9,1753,25.8,33,0,No Failure,4736.2,1876.2,10.0
91,92,L47271,L,298.9,308.9,1830,24.9,35,0,No Failure,4771.77,1911.77,10.0
92,93,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure,4901.06,2041.06,10.0
93,94,L47273,L,299.1,309.0,1450,43.0,40,0,No Failure,6529.28,3669.28,9.899999999999977
94,95,L47274,L,299.0,308.9,1622,31.9,42,0,No Failure,5418.39,2558.39,9.899999999999977
95,96,M14955,M,299.0,309.0,1351,52.2,44,0,No Failure,7385.07,4525.07,10.0
96,97,M14956,M,299.0,309.0,1575,35.3,47,0,No Failure,5822.16,2962.16,10.0
97,98,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure,5479.46,2619.46,10.0
98,99,L47278,L,298.9,308.8,1529,32.7,53,0,No Failure,5235.81,2375.81,9.900000000000034
99,100,L47279,L,298.8,308.8,1523,44.4,55,0,No Failure,7081.28,4221.28,10.0
100,101,L47280,L,298.8,308.9,1852,25.0,57,0,No Failure,4848.52,1988.52,10.099999999999966
101,102,L47281,L,298.8,308.8,1991,20.7,59,0,No Failure,4315.89,1455.89,10.0
102,103,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure,6611.27,3751.27,10.0
103,104,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure,6111.5,3251.5,10.0
104,105,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure,6590.01,3730.01,9.899999999999977
105,106,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure,5181.54,2321.54,9.899999999999977
106,107,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure,7339.02,4479.02,9.899999999999977
107,108,M14967,M,298.8,308.8,1497,46.8,72,0,No Failure,7336.62,4476.62,10.0
108,109,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure,5550.85,2690.85,9.900000000000034
109,110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure,5613.52,2753.52,9.800000000000011
110,111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure,4410.8,1550.8,9.800000000000011
111,112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure,6828.41,3968.41,9.900000000000034
112,113,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure,6196.37,3336.37,9.899999999999977
113,114,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure,6520.21,3660.21,9.800000000000011
114,115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure,5172.32,2312.32,9.800000000000011
115,116,L47295,L,298.8,308.6,1431,45.7,97,0,No Failure,6848.33,3988.33,9.800000000000011
116,117,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure,5584.96,2724.96,9.800000000000011
117,118,L47297,L,298.8,308.6,1599,33.0,101,0,No Failure,5525.75,2665.75,9.800000000000011
118,119,M14978,M,298.8,308.6,1707,28.1,103,0,No Failure,5023.06,2163.06,9.800000000000011
119,120,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure,6252.49,3392.49,9.800000000000011
120,121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure,6707.83,3847.83,9.800000000000011
121,122,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure,6721.92,3861.92,9.800000000000011
122,123,L47302,L,299.0,308.8,1310,50.7,112,0,No Failure,6955.17,4095.17,9.800000000000011
123,124,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure,7026.32,4166.32,9.800000000000011
124,125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure,5317.02,2457.02,9.800000000000011
125,126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure,5260.28,2400.28,9.700000000000045
126,127,L47306,L,299.0,308.6,1329,60.5,120,0,No Failure,8419.94,5559.94,9.600000000000023
127,128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure,6880.56,4020.56,9.700000000000045
128,129,L47308,L,299.0,308.6,1587,38.6,124,0,No Failure,6414.94,3554.94,9.600000000000023
129,130,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure,5599.75,2739.75,9.600000000000023
130,131,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure,6339.77,3479.77,9.599999999999966
131,132,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure,5038.58,2178.58,9.599999999999966
132,133,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure,6518.93,3658.93,9.699999999999989
133,134,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure,7427.56,4567.56,9.699999999999989
134,135,L47314,L,298.8,308.4,1369,53.0,138,0,No Failure,7598.15,4738.15,9.599999999999966
135,136,M14995,M,298.8,308.5,1711,28.5,140,0,No Failure,5106.5,2246.5,9.699999999999989
136,137,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure,6795.68,3935.68,9.800000000000011
137,138,L47317,L,298.7,308.6,1297,55.3,148,0,No Failure,7510.93,4650.93,9.900000000000034
138,139,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure,7495.9,4635.9,9.800000000000011
139,140,L47319,L,298.8,308.6,1268,55.8,155,0,No Failure,7409.38,4549.38,9.800000000000011
140,141,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure,5712.16,2852.16,9.800000000000011
141,142,L47321,L,298.7,308.5,1544,35.2,159,0,No Failure,5691.39,2831.39,9.800000000000011
142,143,M15002,M,298.6,308.4,1778,28.2,161,0,No Failure,5250.61,2390.61,9.799999999999955
143,144,H29557,H,298.6,308.4,1407,50.5,164,0,No Failure,7440.71,4580.71,9.799999999999955
144,145,M15004,M,298.6,308.4,1391,42.4,169,0,No Failure,6176.2,3316.2,9.799999999999955
145,146,L47325,L,298.5,308.4,1513,33.6,172,0,No Failure,5323.62,2463.62,9.899999999999977
146,147,H29560,H,298.5,308.4,1612,36.1,174,0,No Failure,6093.98,3233.98,9.899999999999977
147,148,L47327,L,298.4,308.4,1515,40.1,179,0,No Failure,6361.88,3501.88,10.0
148,149,M15008,M,298.3,308.3,1379,48.0,181,0,No Failure,6931.61,4071.61,10.0
149,150,L47329,L,298.4,308.3,1473,39.9,184,0,No Failure,6154.66,3294.66,9.900000000000034
150,151,L47330,L,298.4,308.3,1422,42.7,186,0,No Failure,6358.52,3498.52,9.900000000000034
151,152,M15011,M,298.4,308.2,1463,37.6,188,0,No Failure,5760.51,2900.51,9.800000000000011
152,153,M15012,M,298.4,308.2,1584,41.0,191,0,No Failure,6800.92,3940.92,9.800000000000011
153,154,L47333,L,298.4,308.2,1850,27.0,194,0,No Failure,5230.75,2370.75,9.800000000000011
154,155,L47334,L,298.4,308.2,1528,36.2,196,0,No Failure,5792.43,2932.43,9.800000000000011
155,156,H29569,H,298.4,308.2,1987,19.8,198,0,No Failure,4119.95,1259.95,9.800000000000011
156,157,M15016,M,298.4,308.1,1495,46.0,203,0,No Failure,7201.58,4341.58,9.700000000000045
157,158,H29571,H,298.4,308.2,1478,43.5,206,0,No Failure,6732.75,3872.75,9.800000000000011
158,159,M15018,M,298.4,308.2,1499,40.0,211,0,No Failure,6279.0,3419.0,9.800000000000011
159,160,L47339,L,298.4,308.2,1471,47.0,214,0,No Failure,7240.01,4380.01,9.800000000000011
160,161,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,8149.02,5289.02,9.800000000000011
161,162,L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,7733.3,4873.3,9.800000000000011
162,163,L47342,L,298.3,308.1,1586,35.5,0,0,No Failure,5896.04,3036.04,9.800000000000011
163,164,M15023,M,298.4,308.2,1468,43.8,2,0,No Failure,6733.31,3873.31,9.800000000000011
164,165,M15024,M,298.5,308.3,1440,43.6,5,0,No Failure,6574.73,3714.73,9.800000000000011
165,166,L47345,L,298.5,308.4,1733,26.0,8,0,No Failure,4718.46,1858.46,9.899999999999977
166,167,H29580,H,298.4,308.2,1612,32.6,10,0,No Failure,5503.15,2643.15,9.800000000000011
167,168,H29581,H,298.4,308.3,1458,42.9,15,0,No Failure,6550.03,3690.03,9.900000000000034
168,169,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure,9348.95,6488.95,9.900000000000034
169,170,L47349,L,298.4,308.3,1318,59.1,22,0,No Failure,8157.02,5297.02,9.900000000000034
170,171,M15030,M,298.4,308.2,1610,35.0,24,0,No Failure,5900.96,3040.96,9.800000000000011
171,172,L47351,L,298.2,308.1,1462,50.8,27,0,No Failure,7777.49,4917.49,9.900000000000034
172,173,M15032,M,298.1,308.0,1924,20.8,29,0,No Failure,4190.8,1330.8,9.899999999999977
173,174,M15033,M,298.2,308.0,1591,33.7,32,0,No Failure,5614.73,2754.73,9.800000000000011
174,175,L47354,L,298.2,308.1,1306,58.3,35,0,No Failure,7973.34,5113.34,9.900000000000034
175,176,L47355,L,298.2,308.1,1382,43.5,37,0,No Failure,6295.44,3435.44,9.900000000000034
176,177,L47356,L,298.2,308.1,1618,34.7,39,0,No Failure,5879.45,3019.45,9.900000000000034
177,178,L47357,L,298.2,308.2,1988,21.4,41,0,No Failure,4455.11,1595.11,10.0
178,179,L47358,L,298.2,308.2,1436,50.2,43,0,No Failure,7548.95,4688.95,10.0
179,180,L47359,L,298.2,308.3,1304,49.8,45,0,No Failure,6800.42,3940.42,10.100000000000023
180,181,L47360,L,298.2,308.3,1475,49.9,47,0,No Failure,7707.64,4847.64,10.100000000000023
181,182,H29595,H,298.2,308.3,1824,24.2,49,0,No Failure,4622.41,1762.41,10.100000000000023
182,183,M15042,M,298.1,308.2,1342,48.1,54,0,No Failure,6759.68,3899.68,10.099999999999966
183,184,L47363,L,298.1,308.2,1485,40.7,57,0,No Failure,6329.21,3469.21,10.099999999999966
184,185,L47364,L,298.2,308.2,1667,30.6,59,0,No Failure,5341.78,2481.78,10.0
185,186,L47365,L,298.2,308.2,1446,38.2,61,0,No Failure,5784.43,2924.43,10.0
186,187,L47366,L,298.1,308.3,1301,56.0,63,0,No Failure,7629.46,4769.46,10.199999999999989
187,188,L47367,L,298.2,308.4,1379,43.1,65,0,No Failure,6224.01,3364.01,10.199999999999989
188,189,L47368,L,298.3,308.5,1606,33.6,67,0,No Failure,5650.85,2790.85,10.199999999999989
189,190,M15049,M,298.3,308.4,1539,43.4,69,0,No Failure,6994.5,4134.5,10.099999999999966
190,191,L47370,L,298.2,308.4,1477,49.9,72,0,No Failure,7718.09,4858.09,10.199999999999989
191,192,L47371,L,298.2,308.4,1666,34.6,74,0,No Failure,6036.42,3176.42,10.199999999999989
192,193,H29606,H,298.2,308.4,1398,51.8,76,0,No Failure,7583.43,4723.43,10.199999999999989
193,194,H29607,H,298.2,308.4,1678,34.6,81,0,No Failure,6079.9,3219.9,10.199999999999989
194,195,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure,3000.7,140.7,10.300000000000011
195,196,L47375,L,298.3,308.5,1453,42.9,89,0,No Failure,6527.57,3667.57,10.199999999999989
196,197,H29610,H,298.3,308.6,1432,49.5,91,0,No Failure,7422.96,4562.96,10.300000000000011
197,198,M15057,M,298.4,308.6,1527,40.9,96,0,No Failure,6540.2,3680.2,10.200000000000045
198,199,L47378,L,298.4,308.7,1588,35.0,99,0,No Failure,5820.32,2960.32,10.300000000000011
199,200,L47379,L,298.4,308.6,1433,47.1,101,0,No Failure,7067.99,4207.99,10.200000000000045
200,201,L47380,L,298.4,308.6,1609,35.0,103,0,No Failure,5897.29,3037.29,10.200000000000045
201,202,L47381,L,298.3,308.5,1575,41.2,105,0,No Failure,6795.26,3935.26,10.199999999999989
202,203,M15062,M,298.4,308.5,1636,35.7,107,0,No Failure,6116.18,3256.18,10.100000000000023
203,204,L47383,L,298.4,308.5,1490,37.9,110,0,No Failure,5913.63,3053.63,10.100000000000023
204,205,L47384,L,298.4,308.5,1741,32.8,112,0,No Failure,5980.0,3120.0,10.100000000000023
205,206,M15065,M,298.5,308.6,1344,53.0,114,0,No Failure,7459.4,4599.4,10.100000000000023
206,207,L47386,L,298.5,308.7,1609,35.3,117,0,No Failure,5947.84,3087.84,10.199999999999989
207,208,M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure,9032.57,6172.57,10.300000000000011
208,209,L47388,L,298.4,308.6,1591,36.7,122,0,No Failure,6114.56,3254.56,10.200000000000045
209,210,L47389,L,298.4,308.6,1477,44.0,124,0,No Failure,6805.53,3945.53,10.200000000000045
210,211,L47390,L,298.4,308.7,1523,36.1,126,0,No Failure,5757.52,2897.52,10.300000000000011
211,212,L47391,L,298.5,308.7,1575,33.9,128,0,No Failure,5591.25,2731.25,10.199999999999989
212,213,H29626,H,298.4,308.7,1344,52.9,130,0,No Failure,7445.32,4585.32,10.300000000000011
213,214,L47393,L,298.4,308.7,1386,44.9,135,0,No Failure,6516.86,3656.86,10.300000000000011
214,215,M15074,M,298.3,308.6,1589,37.1,137,0,No Failure,6173.43,3313.43,10.300000000000011
215,216,L47395,L,298.3,308.6,1548,40.3,140,0,No Failure,6532.88,3672.88,10.300000000000011
216,217,L47396,L,298.3,308.6,1499,38.3,142,0,No Failure,6012.14,3152.14,10.300000000000011
217,218,L47397,L,298.3,308.5,1664,31.6,144,0,No Failure,5506.42,2646.42,10.199999999999989
218,219,L47398,L,298.3,308.6,1447,38.1,146,0,No Failure,5773.27,2913.27,10.300000000000011
219,220,M15079,M,298.3,308.5,1434,46.2,148,0,No Failure,6937.77,4077.77,10.199999999999989
220,221,L47400,L,298.3,308.5,1416,52.7,151,0,No Failure,7814.52,4954.52,10.199999999999989
221,222,H29635,H,298.4,308.5,1827,24.3,153,0,No Failure,4649.15,1789.15,10.100000000000023
222,223,L47402,L,298.4,308.6,1304,45.0,158,0,No Failure,6144.96,3284.96,10.200000000000045
223,224,L47403,L,298.4,308.6,1569,34.4,160,0,No Failure,5652.1,2792.1,10.200000000000045
224,225,L47404,L,298.3,308.6,1584,29.3,162,0,No Failure,4860.17,2000.17,10.300000000000011
225,226,L47405,L,298.3,308.5,1362,53.8,164,0,No Failure,7673.4,4813.4,10.199999999999989
226,227,L47406,L,298.3,308.4,1329,49.2,166,0,No Failure,6847.29,3987.29,10.099999999999966
227,228,L47407,L,298.3,308.5,1539,36.1,168,0,No Failure,5818.01,2958.01,10.199999999999989
228,229,M15088,M,298.3,308.5,1629,37.1,170,0,No Failure,6328.83,3468.83,10.199999999999989
229,230,L47409,L,298.3,308.5,1538,32.2,173,0,No Failure,5186.1,2326.1,10.199999999999989
230,231,L47410,L,298.3,308.6,1570,34.8,175,0,No Failure,5721.47,2861.47,10.300000000000011
231,232,L47411,L,298.3,308.4,1408,43.1,177,0,No Failure,6354.9,3494.9,10.099999999999966
232,233,L47412,L,298.2,308.4,1424,47.6,179,0,No Failure,7098.16,4238.16,10.199999999999989
233,234,L47413,L,298.2,308.4,1512,34.9,181,0,No Failure,5525.94,2665.94,10.199999999999989
234,235,L47414,L,298.2,308.4,1478,42.9,183,0,No Failure,6639.88,3779.88,10.199999999999989
235,236,M15095,M,298.1,308.3,1680,33.7,185,0,No Failure,5928.81,3068.81,10.199999999999989
236,237,L47416,L,298.1,308.3,1495,38.7,188,0,No Failure,6058.72,3198.72,10.199999999999989
237,238,M15097,M,298.0,308.1,1552,36.6,190,0,No Failure,5948.42,3088.42,10.100000000000023
238,239,L47418,L,297.9,308.1,1393,50.3,193,0,No Failure,7337.49,4477.49,10.200000000000045
239,240,L47419,L,298.0,308.2,1611,30.6,195,0,No Failure,5162.33,2302.33,10.199999999999989
240,241,M15100,M,298.0,308.1,1339,51.6,197,0,No Failure,7235.34,4375.34,10.100000000000023
241,242,L47421,L,298.0,308.1,1777,24.3,200,0,No Failure,4521.91,1661.91,10.100000000000023
242,243,L47422,L,298.0,308.2,1348,58.8,202,1,Overstrain Failure,8300.34,5440.34,10.199999999999989
243,244,L47423,L,298.0,308.2,1442,44.1,204,0,No Failure,6659.36,3799.36,10.199999999999989
244,245,M15104,M,298.0,308.2,1395,49.1,206,0,No Failure,7172.73,4312.73,10.199999999999989
245,246,M15105,M,297.9,308.1,1627,31.4,209,0,No Failure,5349.9,2489.9,10.200000000000045
246,247,L47426,L,297.9,308.1,1585,33.5,212,0,No Failure,5560.36,2700.36,10.200000000000045
247,248,L47427,L,298.0,308.2,1469,45.5,214,0,No Failure,6999.42,4139.42,10.199999999999989
248,249,L47428,L,298.0,308.3,1362,56.8,216,1,Overstrain Failure,8101.29,5241.29,10.300000000000011
249,250,L47429,L,298.0,308.3,1405,56.2,218,1,Overstrain Failure,8268.78,5408.78,10.300000000000011
250,251,L47430,L,298.0,308.3,1662,32.7,0,0,No Failure,5691.25,2831.25,10.300000000000011
251,252,M15111,M,298.0,308.2,1466,42.6,2,0,No Failure,6539.92,3679.92,10.199999999999989
252,253,L47432,L,298.0,308.2,1620,35.8,5,0,No Failure,6073.33,3213.33,10.199999999999989
253,254,L47433,L,298.0,308.2,1357,48.2,7,0,No Failure,6849.45,3989.45,10.199999999999989
254,255,L47434,L,298.0,308.2,1514,37.9,9,0,No Failure,6008.88,3148.88,10.199999999999989
255,256,L47435,L,298.0,308.2,1489,40.4,11,0,No Failure,6299.48,3439.48,10.199999999999989
256,257,L47436,L,298.1,308.3,1331,63.0,13,0,No Failure,8781.07,5921.07,10.199999999999989
257,258,L47437,L,298.0,308.0,1615,29.5,15,0,No Failure,4989.11,2129.11,10.0
258,259,L47438,L,298.1,308.2,1482,37.9,17,0,No Failure,5881.88,3021.88,10.099999999999966
259,260,M15119,M,298.1,308.2,1420,63.9,19,1,Power Failure,9502.06,6642.06,10.099999999999966
260,261,M15120,M,298.2,308.3,1522,49.1,22,0,No Failure,7825.73,4965.73,10.100000000000023
261,262,L47441,L,298.1,308.2,1654,32.1,25,0,No Failure,5559.93,2699.93,10.099999999999966
262,263,M15122,M,298.1,308.2,1736,26.8,27,0,No Failure,4872.07,2012.07,10.099999999999966
263,264,M15123,M,298.0,308.1,1587,32.3,30,0,No Failure,5367.95,2507.95,10.100000000000023
264,265,L47444,L,298.1,308.2,1390,47.5,33,0,No Failure,6914.12,4054.12,10.099999999999966
265,266,L47445,L,298.0,308.1,1454,37.1,35,0,No Failure,5648.94,2788.94,10.100000000000023
266,267,H29680,H,298.0,308.1,1440,43.7,37,0,No Failure,6589.8,3729.8,10.100000000000023
267,268,L47447,L,297.9,308.0,1954,21.1,42,0,No Failure,4317.53,1457.53,10.100000000000023
