,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Noise Power,Noise,Difference Temperature,Rotation per torque,Torque per Rotation,Tool wear per Rotation,Tool wear per torque,Tool wear per power
21,22,L47201,L,298.8,309.3,1450,44.8,63,0,No Failure,6802.6,3942.6,5.25,32.36607142857143,0.030896551724137928,0.043448275862068966,1.40625,0.009261164848734307
22,23,M14882,M,298.9,309.3,1581,30.7,65,0,No Failure,5082.75,2222.75,5.200000000000017,51.498371335504885,0.01941808981657179,0.041113219481340925,2.1172638436482085,0.012788352761792337
23,24,L47203,L,299.0,309.4,1758,25.7,68,0,No Failure,4731.3,1871.3,5.199999999999989,68.40466926070039,0.014618885096700797,0.038680318543799774,2.6459143968871595,0.014372371229894532
24,25,M14884,M,299.0,309.4,1561,37.3,70,0,No Failure,6097.34,3237.34,5.199999999999989,41.84986595174263,0.02389493914157591,0.04484304932735426,1.8766756032171583,0.011480416050277662
25,26,L47205,L,299.0,309.5,1861,23.3,73,0,No Failure,4540.78,1680.78,5.25,79.87124463519314,0.012520150456743687,0.03922622246104245,3.133047210300429,0.016076533106646876
26,27,L47206,L,299.1,309.5,1512,39.0,75,0,No Failure,6175.11,3315.11,5.199999999999989,38.76923076923077,0.025793650793650792,0.0496031746031746,1.9230769230769231,0.012145532630187965
27,28,H29441,H,299.1,309.4,1811,24.6,77,0,No Failure,4665.33,1805.33,5.149999999999977,73.61788617886178,0.013583655438983988,0.04251794588625069,3.130081300813008,0.016504727425498304
28,29,L47208,L,299.1,309.4,1439,44.2,82,0,No Failure,6660.57,3800.57,5.149999999999977,32.556561085972845,0.03071577484364142,0.05698401667824878,1.855203619909502,0.012311258646031796
29,30,L47209,L,299.0,309.4,1693,30.1,84,0,No Failure,5336.45,2476.45,5.199999999999989,56.24584717607973,0.0177790903721205,0.049616066154754876,2.7906976744186047,0.01574080146914147
30,31,M14890,M,299.1,309.5,1339,48.2,86,0,No Failure,6758.59,3898.59,5.199999999999989,27.780082987551864,0.03599701269604182,0.0642270351008215,1.784232365145228,0.012724547575751748
31,32,L47211,L,299.0,309.4,1798,25.5,89,0,No Failure,4801.3,1941.3,5.199999999999989,70.50980392156863,0.01418242491657397,0.04949944382647386,3.4901960784313726,0.018536646324953658
32,33,L47212,L,299.0,309.4,1419,48.3,91,0,No Failure,7177.25,4317.25,5.199999999999989,29.378881987577643,0.034038054968287525,0.06412966878083157,1.884057971014493,0.012678950851649308
33,34,L47213,L,298.9,309.3,1665,32.5,93,0,No Failure,5666.65,2806.65,5.200000000000017,51.23076923076923,0.01951951951951952,0.055855855855855854,2.8615384615384616,0.01641181297592052
34,35,M14894,M,298.8,309.1,1559,34.7,95,0,No Failure,5665.06,2805.06,5.150000000000006,44.92795389048991,0.0222578576010263,0.06093649775497113,2.737752161383285,0.016769460517629113
35,36,M14895,M,298.8,309.2,1452,48.6,98,0,No Failure,7389.78,4529.78,5.199999999999989,29.87654320987654,0.03347107438016529,0.0674931129476584,2.016460905349794,0.01326155853083583
36,37,M14896,M,298.9,309.2,1581,36.7,101,0,No Failure,6076.12,3216.12,5.150000000000006,43.07901907356948,0.023213156230234032,0.06388361796331436,2.7520435967302452,0.016622449852866632
37,38,L47217,L,298.8,309.1,1439,39.2,104,0,No Failure,5907.12,3047.12,5.150000000000006,36.70918367346938,0.02724113968033357,0.07227241139680333,2.6530612244897958,0.017605872235539485
38,39,H29452,H,298.9,309.2,1379,50.7,106,0,No Failure,7321.51,4461.51,5.150000000000006,27.19921104536489,0.03676577229876722,0.07686729514140682,2.0907297830374754,0.014477887758126397
39,40,L47219,L,298.8,309.1,1350,52.5,111,0,No Failure,7422.01,4562.01,5.150000000000006,25.714285714285715,0.03888888888888889,0.08222222222222222,2.1142857142857143,0.014955517440693289
40,41,L47220,L,298.8,309.1,1362,45.4,113,0,No Failure,6475.33,3615.33,5.150000000000006,30.0,0.03333333333333333,0.08296622613803231,2.488986784140969,0.017450848064886268
41,42,L47221,L,298.8,309.1,1368,50.8,115,0,No Failure,7277.44,4417.44,5.150000000000006,26.92913385826772,0.0371345029239766,0.08406432748538012,2.263779527559055,0.01580226013543224
42,43,M14902,M,298.8,309.1,1368,49.1,117,0,No Failure,7033.9,4173.9,5.150000000000006,27.861507128309572,0.03589181286549708,0.08552631578947369,2.3828920570264764,0.0166337309316311
43,44,H29457,H,298.8,309.2,1372,48.5,120,0,No Failure,6968.26,4108.26,5.199999999999989,28.288659793814432,0.03534985422740525,0.08746355685131195,2.4742268041237114,0.01722094181330777
44,45,M14904,M,298.8,309.1,1472,47.5,125,0,No Failure,7322.01,4462.01,5.150000000000006,30.989473684210527,0.03226902173913043,0.08491847826086957,2.6315789473684212,0.017071814979766484
45,46,L47225,L,298.8,309.1,1489,49.1,128,0,No Failure,7656.05,4796.05,5.150000000000006,30.325865580448063,0.03297515110812626,0.08596373404969779,2.6069246435845215,0.016718804083045435
46,47,M14906,M,298.7,309.0,1843,25.8,130,0,No Failure,4979.36,2119.36,5.150000000000006,71.43410852713178,0.01399891481280521,0.0705371676614216,5.038759689922481,0.026107772886475374
47,48,L47227,L,298.8,309.1,1418,46.3,133,0,No Failure,6875.21,4015.21,5.150000000000006,30.62634989200864,0.032651622002820874,0.09379407616361073,2.8725701943844495,0.019344863647801303
48,49,H29462,H,298.8,309.2,1425,53.9,135,0,No Failure,8043.26,5183.26,5.199999999999989,26.437847866419297,0.03782456140350877,0.09473684210526316,2.504638218923933,0.01678423922638333
49,50,M14909,M,298.9,309.2,1412,44.1,140,0,No Failure,6520.82,3660.82,5.150000000000006,32.01814058956916,0.03123229461756374,0.09915014164305949,3.1746031746031744,0.02146969246199098
50,51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure,1378.17,-1481.83,5.100000000000023,621.9565217391305,0.0016078294302691366,0.049982523593149246,31.086956521739133,0.1037607842283608
51,52,L47231,L,298.9,309.1,1383,54.9,145,0,No Failure,7951.03,5091.03,5.100000000000023,25.191256830601095,0.03969631236442516,0.10484454085321765,2.6411657559198543,0.018236630977370227
52,53,H29466,H,298.8,309.0,1497,43.8,147,0,No Failure,6866.33,4006.33,5.099999999999994,34.178082191780824,0.029258517034068135,0.09819639278557114,3.356164383561644,0.021408816645864675
53,54,L47233,L,298.7,309.0,1565,35.1,152,0,No Failure,5752.41,2892.41,5.150000000000006,44.58689458689459,0.022428115015974442,0.09712460063897764,4.33048433048433,0.0264237076286287
54,55,L47234,L,298.7,309.0,1691,30.1,154,0,No Failure,5330.14,2470.14,5.150000000000006,56.17940199335548,0.017800118273211117,0.09107037256061502,5.116279069767441,0.028892299264184428
55,56,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure,6444.29,3584.29,5.150000000000006,37.14987714987715,0.02691798941798942,0.10317460317460317,3.8329238329238327,0.024207476696424278
56,57,L47236,L,298.8,309.1,1477,42.4,158,0,No Failure,6558.05,3698.05,5.150000000000006,34.83490566037736,0.02870683818551117,0.1069735951252539,3.7264150943396226,0.024092527504364865
57,58,L47237,L,298.8,309.1,1513,40.3,160,0,No Failure,6385.17,3525.17,5.150000000000006,37.54342431761787,0.02663582286847323,0.10575016523463318,3.970223325062035,0.025058064233215403
58,59,M14918,M,298.8,309.0,1661,29.5,162,0,No Failure,5131.22,2271.22,5.099999999999994,56.30508474576271,0.017760385310054184,0.0975316074653823,5.491525423728813,0.03157143915092317
59,60,L47239,L,298.8,309.1,1378,54.4,165,0,No Failure,7850.13,4990.13,5.150000000000006,25.330882352941178,0.03947750362844702,0.11973875181422351,3.0330882352941178,0.021018760198875688
60,61,L47240,L,298.8,309.1,1393,52.6,167,0,No Failure,7673.0,4813.0,5.150000000000006,26.482889733840302,0.037760229720028717,0.1198851399856425,3.1749049429657794,0.021764629219340546
61,62,M14921,M,298.8,309.0,1592,38.2,169,0,No Failure,6368.47,3508.47,5.099999999999994,41.675392670157066,0.023994974874371862,0.10615577889447236,4.424083769633508,0.026536986120685186
62,63,L47242,L,298.8,309.0,1829,22.9,172,0,No Failure,4386.09,1526.09,5.099999999999994,79.86899563318778,0.012520503007107709,0.09404045926735921,7.510917030567686,0.03921488159157701
63,64,M14923,M,298.9,309.0,1812,25.9,174,0,No Failure,4914.58,2054.58,5.050000000000011,69.96138996138997,0.014293598233995584,0.09602649006622517,6.718146718146719,0.035404856569635657
64,65,L47244,L,299.0,309.1,1523,38.6,177,0,No Failure,6156.24,3296.24,5.050000000000011,39.4559585492228,0.02534471437951412,0.11621799080761655,4.585492227979274,0.028751315738177848
65,66,L47245,L,299.0,309.1,1394,45.1,179,0,No Failure,6583.67,3723.67,5.050000000000011,30.909090909090907,0.03235294117647059,0.1284074605451937,3.9689578713968956,0.02718848301934939
66,67,M14926,M,298.9,308.9,1679,28.7,181,0,No Failure,5046.16,2186.16,5.0,58.501742160278745,0.017093508040500298,0.10780226325193568,6.306620209059234,0.03586885869651379
67,68,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure,6770.2,3910.2,5.049999999999983,33.24263038548753,0.030081855388813097,0.12551159618008187,4.172335600907029,0.027177926796844998
68,69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure,5180.99,2320.99,5.049999999999983,47.12962962962963,0.021218074656188603,0.1237721021611002,5.833333333333334,0.036479514532936755
69,70,L47249,L,298.9,309.0,1410,65.7,191,1,Power Failure,9700.92,6840.92,5.050000000000011,21.461187214611872,0.046595744680851064,0.13546099290780142,2.907153729071537,0.019688854252998683
70,71,M14930,M,298.9,309.0,1924,22.6,193,0,No Failure,4553.47,1693.47,5.050000000000011,85.13274336283185,0.011746361746361747,0.10031185031185032,8.539823008849558,0.04238525783633141
71,72,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure,6918.42,4058.42,5.100000000000023,31.912087912087912,0.03133608815426997,0.1349862258953168,4.3076923076923075,0.0283301678706988
72,73,L47252,L,298.9,309.1,1369,44.4,198,0,No Failure,6365.24,3505.24,5.100000000000023,30.833333333333336,0.032432432432432434,0.1446311176040906,4.45945945945946,0.031106446889669518
73,74,L47253,L,299.0,309.1,1592,35.0,200,0,No Failure,5834.98,2974.98,5.050000000000011,45.48571428571429,0.02198492462311558,0.12562814070351758,5.714285714285714,0.03427603864966118
74,75,L47254,L,298.9,309.0,1601,32.3,202,0,No Failure,5415.3,2555.3,5.050000000000011,49.566563467492266,0.020174890693316676,0.12617114303560276,6.253869969040248,0.037301719202998906
75,76,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure,6743.88,3883.88,5.049999999999983,29.528907922912204,0.03386511965192168,0.14793328498912256,4.36830835117773,0.030249648570259257
76,77,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure,7328.49,4468.49,5.049999999999983,30.501043841336116,0.03278576317590691,0.14099931553730322,4.30062630480167,0.02810947412086255
77,78,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,6292.77,3432.77,5.049999999999983,35.23002421307506,0.02838487972508591,0.1429553264604811,5.036319612590799,0.033053806193456936
78,79,L47258,L,298.8,308.9,1398,51.5,0,0,No Failure,7539.51,4679.51,5.049999999999983,27.145631067961165,0.03683834048640915,0.0,0.0,0.0
79,80,L47259,L,298.8,308.9,1402,37.9,2,0,No Failure,5564.37,2704.37,5.049999999999983,36.99208443271768,0.027032810271041367,0.0014265335235378032,0.052770448548812667,0.00035942972879229813
80,81,H29494,H,298.8,308.8,1445,49.9,4,0,No Failure,7550.87,4690.87,5.0,28.95791583166333,0.03453287197231834,0.002768166089965398,0.08016032064128256,0.0005297402815834467
81,82,L47261,L,298.9,308.9,1450,47.5,9,0,No Failure,7212.57,4352.57,5.0,30.526315789473685,0.032758620689655175,0.006206896551724138,0.18947368421052632,0.0012478215116109791
82,83,L47262,L,298.9,308.9,1453,40.8,11,0,No Failure,6208.04,3348.04,5.0,35.61274509803922,0.02807983482450103,0.007570543702684102,0.26960784313725494,0.0017718957996404661
83,84,L47263,L,299.0,309.0,1469,40.1,13,0,No Failure,6168.72,3308.72,5.0,36.633416458852864,0.027297481279782165,0.008849557522123894,0.32418952618453867,0.002107406398734259
84,85,L47264,L,298.9,308.9,1422,47.6,15,0,No Failure,7088.19,4228.19,5.0,29.873949579831933,0.03347398030942335,0.010548523206751054,0.31512605042016806,0.002116196095194965
85,86,M14945,M,299.0,309.0,1804,26.8,17,0,No Failure,5062.91,2202.91,5.0,67.31343283582089,0.014855875831485588,0.009423503325942351,0.6343283582089552,0.0033577527548386207
86,87,H29500,H,299.0,309.0,1436,43.9,20,0,No Failure,6601.58,3741.58,5.0,32.710706150341686,0.030571030640668524,0.013927576601671309,0.45558086560364464,0.003029577767746509
87,88,L47267,L,299.0,309.0,1544,31.8,25,0,No Failure,5141.66,2281.66,5.0,48.55345911949686,0.020595854922279794,0.016191709844559584,0.7861635220125786,0.004862242933216121
88,89,M14948,M,299.0,309.0,1419,45.2,27,0,No Failure,6716.6,3856.6,5.0,31.39380530973451,0.03185341789992953,0.019027484143763214,0.5973451327433628,0.0040198910162880025
89,90,M14949,M,298.9,308.9,1487,39.5,30,0,No Failure,6150.87,3290.87,5.0,37.64556962025316,0.0265635507733692,0.020174848688634835,0.759493670886076,0.004877358812655771
90,91,L47270,L,298.9,308.9,1753,25.8,33,0,No Failure,4736.2,1876.2,5.0,67.94573643410853,0.014717626925270965,0.018824871648602397,1.2790697674418605,0.006967611165069043
91,92,L47271,L,298.9,308.9,1830,24.9,35,0,No Failure,4771.77,1911.77,5.0,73.49397590361446,0.01360655737704918,0.01912568306010929,1.4056224899598395,0.007334804485547291
92,93,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure,4901.06,2041.06,5.0,63.72693726937269,0.015691951360741172,0.021424435437174292,1.3653136531365313,0.007549387275405728
93,94,L47273,L,299.1,309.0,1450,43.0,40,0,No Failure,6529.28,3669.28,4.949999999999989,33.72093023255814,0.029655172413793104,0.027586206896551724,0.9302325581395349,0.00612624975495001
94,95,L47274,L,299.0,308.9,1622,31.9,42,0,No Failure,5418.39,2558.39,4.949999999999989,50.84639498432602,0.01966707768187423,0.025893958076448828,1.316614420062696,0.007751380022479002
95,96,M14955,M,299.0,309.0,1351,52.2,44,0,No Failure,7385.07,4525.07,5.0,25.881226053639846,0.038638045891931906,0.03256846780162842,0.842911877394636,0.005957966546017844
96,97,M14956,M,299.0,309.0,1575,35.3,47,0,No Failure,5822.16,2962.16,5.0,44.61756373937678,0.022412698412698412,0.029841269841269842,1.331444759206799,0.008072605356087776
97,98,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure,5479.46,2619.46,5.0,58.52842809364549,0.017085714285714284,0.02857142857142857,1.6722408026755853,0.009124986768769185
98,99,L47278,L,298.9,308.8,1529,32.7,53,0,No Failure,5235.81,2375.81,4.950000000000017,46.75840978593272,0.021386527141922827,0.03466317854807063,1.620795107033639,0.010122598031632164
99,100,L47279,L,298.8,308.8,1523,44.4,55,0,No Failure,7081.28,4221.28,5.0,34.3018018018018,0.029152987524622455,0.03611293499671701,1.2387387387387387,0.007766957386235257
100,101,L47280,L,298.8,308.9,1852,25.0,57,0,No Failure,4848.52,1988.52,5.049999999999983,74.08,0.013498920086393088,0.030777537796976243,2.28,0.011756164767805432
101,102,L47281,L,298.8,308.8,1991,20.7,59,0,No Failure,4315.89,1455.89,5.0,96.18357487922705,0.01039678553490708,0.029633350075339026,2.85024154589372,0.013670413286714906
102,103,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure,6611.27,3751.27,5.0,38.30049261083744,0.026109324758842443,0.03922829581993569,1.5024630541871922,0.009226669006106239
103,104,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure,6111.5,3251.5,5.0,35.58024691358025,0.028105482303955587,0.04371963913948647,1.5555555555555556,0.01030843491777796
104,105,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure,6590.01,3730.01,4.949999999999989,33.41013824884793,0.02993103448275862,0.04551724137931035,1.5207373271889402,0.010015159309318195
105,106,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure,5181.54,2321.54,4.949999999999989,51.157556270096464,0.01954745443117536,0.04274041483343809,2.1864951768488745,0.013123511542900373
106,107,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure,7339.02,4479.02,4.949999999999989,29.79381443298969,0.03356401384083045,0.04844290657439446,1.443298969072165,0.009538058214857023
107,108,M14967,M,298.8,308.8,1497,46.8,72,0,No Failure,7336.62,4476.62,5.0,31.98717948717949,0.0312625250501002,0.04809619238476954,1.5384615384615385,0.00981378345886798
108,109,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure,5550.85,2690.85,4.950000000000017,49.571865443425075,0.020172732880937693,0.04626773596545342,2.293577981651376,0.013511444193231666
109,110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure,5613.52,2753.52,4.900000000000006,46.09970674486803,0.02169211195928753,0.05089058524173028,2.3460410557184748,0.014251307557468397
110,111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure,4410.8,1550.8,4.900000000000006,83.2,0.01201923076923077,0.0438034188034188,3.6444444444444444,0.018590731840029018
111,112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure,6828.41,3968.41,4.950000000000017,34.45977011494253,0.029019346230820548,0.056037358238825885,1.9310344827586208,0.012301546040732763
112,113,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure,6196.37,3336.37,4.949999999999989,37.924050632911396,0.02636849132176235,0.05941255006675567,2.2531645569620253,0.014363248159809695
113,114,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure,6520.21,3660.21,4.900000000000006,35.4653937947494,0.02819650067294751,0.06191117092866756,2.1957040572792366,0.01410997498546826
114,115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure,5172.32,2312.32,4.900000000000006,57.142857142857146,0.017499999999999998,0.05654761904761905,3.231292517006803,0.018366999721594952
115,116,L47295,L,298.8,308.6,1431,45.7,97,0,No Failure,6848.33,3988.33,4.900000000000006,31.312910284463893,0.031935709294199865,0.06778476589797344,2.12253829321663,0.014164037071811669
116,117,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure,5584.96,2724.96,4.900000000000006,45.86510263929618,0.021803069053708442,0.0632992327365729,2.903225806451613,0.017726178880421703
117,118,L47297,L,298.8,308.6,1599,33.0,101,0,No Failure,5525.75,2665.75,4.900000000000006,48.45454545454545,0.020637898686679174,0.06316447779862414,3.0606060606060606,0.0182780618015654
118,119,M14978,M,298.8,308.6,1707,28.1,103,0,No Failure,5023.06,2163.06,4.900000000000006,60.74733096085409,0.016461628588166376,0.06033977738722906,3.6654804270462633,0.020505428961628967
119,120,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure,6252.49,3392.49,4.900000000000006,36.04422604422604,0.027743694614860263,0.07225630538513975,2.6044226044226044,0.016953245826862577
120,121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure,6707.83,3847.83,4.900000000000006,32.05816554809843,0.031193300767620377,0.07536636427076064,2.4161073825503356,0.016100586926025257
121,122,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure,6721.92,3861.92,4.900000000000006,37.81553398058252,0.02644415917843389,0.07060333761232349,2.669902912621359,0.01636437208416643
122,123,L47302,L,299.0,308.8,1310,50.7,112,0,No Failure,6955.17,4095.17,4.900000000000006,25.83826429980276,0.03870229007633588,0.08549618320610687,2.2090729783037473,0.016103129039261442
123,124,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure,7026.32,4166.32,4.900000000000006,35.622119815668206,0.028072445019404917,0.07373868046571798,2.6267281105990783,0.01622470937845131
124,125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure,5317.02,2457.02,4.900000000000006,58.74149659863946,0.01702374059061957,0.0671685002895194,3.9455782312925174,0.021816731928787175
125,126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure,5260.28,2400.28,4.850000000000023,48.44720496894409,0.020641025641025643,0.07564102564102564,3.664596273291925,0.022432265963028584
126,127,L47306,L,299.0,308.6,1329,60.5,120,0,No Failure,8419.94,5559.94,4.800000000000011,21.96694214876033,0.045522949586155007,0.09029345372460497,1.9834710743801653,0.014251883030045345
127,128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure,6880.56,4020.56,4.850000000000023,30.387096774193548,0.032908704883227176,0.08634111818825195,2.6236559139784945,0.017731114909251573
128,129,L47308,L,299.0,308.6,1587,38.6,124,0,No Failure,6414.94,3554.94,4.800000000000011,41.1139896373057,0.024322621298046628,0.07813484562066793,3.2124352331606216,0.019329876818801113
129,130,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure,5599.75,2739.75,4.800000000000011,45.45189504373178,0.022001282873636945,0.08082103912764593,3.6734693877551026,0.022501004509129872
130,131,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure,6339.77,3479.77,4.799999999999983,35.83941605839416,0.027902240325865583,0.08689748811948404,3.114355231143552,0.02019000689299454
131,132,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure,5038.58,2178.58,4.799999999999983,62.707581227436826,0.015947035118019575,0.07484168105929764,4.693140794223827,0.02580092010050451
132,133,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure,6518.93,3658.93,4.849999999999994,33.35648148148148,0.029979181124219295,0.0916030534351145,3.0555555555555554,0.02024872179943641
133,134,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure,7427.56,4567.56,4.849999999999994,28.83064516129032,0.03468531468531469,0.0944055944055944,2.721774193548387,0.01817555159433246
134,135,L47314,L,298.8,308.4,1369,53.0,138,0,No Failure,7598.15,4738.15,4.799999999999983,25.830188679245282,0.03871439006574142,0.10080350620891161,2.6037735849056602,0.01816231582687891
135,136,M14995,M,298.8,308.5,1711,28.5,140,0,No Failure,5106.5,2246.5,4.849999999999994,60.03508771929825,0.016656925774400935,0.08182349503214495,4.912280701754386,0.027416038382453736
136,137,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure,6795.68,3935.68,4.900000000000006,31.072210065645514,0.032183098591549296,0.10070422535211268,3.1291028446389495,0.02104278011913451
137,138,L47317,L,298.7,308.6,1297,55.3,148,0,No Failure,7510.93,4650.93,4.950000000000017,23.453887884267633,0.04263685427910563,0.1141094834232845,2.6763110307414104,0.019704617137957615
138,139,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure,7495.9,4635.9,4.900000000000006,29.331983805668017,0.03409247757073844,0.10351966873706005,3.0364372469635628,0.020010939313491377
139,140,L47319,L,298.8,308.6,1268,55.8,155,0,No Failure,7409.38,4549.38,4.900000000000006,22.724014336917563,0.044006309148264984,0.1222397476340694,2.777777777777778,0.020919429156015752
140,141,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure,5712.16,2852.16,4.900000000000006,41.855955678670355,0.023891462607544673,0.10390469887491727,4.349030470914127,0.02748522450351531
141,142,L47321,L,298.7,308.5,1544,35.2,159,0,No Failure,5691.39,2831.39,4.900000000000006,43.86363636363636,0.0227979274611399,0.10297927461139897,4.517045454545454,0.02793693631959855
142,143,M15002,M,298.6,308.4,1778,28.2,161,0,No Failure,5250.61,2390.61,4.899999999999977,63.04964539007092,0.015860517435320586,0.09055118110236221,5.709219858156029,0.03066310390602235
143,144,H29557,H,298.6,308.4,1407,50.5,164,0,No Failure,7440.71,4580.71,4.899999999999977,27.861386138613863,0.035891968727789623,0.11656005685856433,3.2475247524752477,0.022040907386526285
144,145,M15004,M,298.6,308.4,1391,42.4,169,0,No Failure,6176.2,3316.2,4.899999999999977,32.806603773584904,0.030481667864845435,0.12149532710280374,3.9858490566037736,0.027363103526440207
